ASV,mean,region,LDA,pvalue,species
ASV14327_Ruminococcaceae_UCG_010,2.366397649,Laikipia,2.046111036,0.017230108,Zebra
ASV4780_Rikenellaceae_RC9,2.354351407,Laikipia,2.042331981,0.019345345,Zebra
ASV17163_Alphaproteobacteria,2.183172462,Laikipia,2.038423819,0.029800994,Zebra
ASV16257_Kiritimatiellae_WCHB1_41,2.24732141,Laikipia,2.032701818,0.015129578,Zebra
ASV14229_Ruminococcaceae_UCG_010,2.451632434,Laikipia,2.028778684,0.014193666,Zebra
ASV2733_Bacteroidales_RF16_,2.328561746,Laikipia,2.027000512,0.00839478,Zebra
ASV8058_Erysipelotrichaceae_UCG_004,2.252579146,Laikipia,2.023260573,0.033121774,Zebra
ASV14482_Ruminococcaceae_UCG_010,2.225539239,Laikipia,2.023173653,0.001943029,Zebra
ASV14450_Ruminococcaceae_UCG_010,2.229646183,Laikipia,2.014113958,0.047244184,Zebra
ASV16265_Kiritimatiellae_WCHB1_41,2.21365786,Laikipia,2.011105641,0.040271313,Zebra
ASV17762_Rhodospirillales,2.258276802,Laikipia,2.004928927,0.027195173,Zebra
ASV15608_Ruminococcus_1,2.146727839,Laikipia,2.002941347,0.002952873,Zebra
ASV14408_Ruminococcaceae_UCG_010,2.29394965,Laikipia,2.000124213,0.042594601,Zebra
ASV2553_Bacteroidales_p_251_o5,4.58577781,Laikipia,4.303556094,0.024768272,Elephant
ASV3466_Prevotellaceae,4.587956044,Masai_Mara,4.207987967,0.002449872,Elephant
ASV9137_Lachnospiraceae,4.373157999,Masai_Mara,4.069344807,0.001257078,Elephant
ASV1949_Bacteroidales,4.165010793,Masai_Mara,3.893551107,0.000187009,Elephant
ASV15516_Ruminococcus_1,4.132336351,Masai_Mara,3.852969225,2.01E-05,Elephant
ASV3469_Prevotellaceae,4.112068355,Masai_Mara,3.768517712,0.001512526,Elephant
ASV3475_Prevotellaceae,4.009086779,Masai_Mara,3.718467319,2.01E-05,Elephant
ASV3832_Prevotellaceae_UCG_001,3.918502771,Masai_Mara,3.642287582,0.001296795,Elephant
NA_,3.955251737,Masai_Mara,3.623580428,2.47E-05,Elephant
ASV3474_Prevotellaceae,3.911023301,Masai_Mara,3.594528553,0.001177122,Elephant
ASV11150_Pseudobutyrivibrio,3.927816275,Masai_Mara,3.572617092,0.008977277,Elephant
ASV9172_Lachnospiraceae,3.793788299,Masai_Mara,3.572595619,0.001296795,Elephant
ASV6489_Clostridiaceae_1,3.845271105,Masai_Mara,3.562787075,0.001296795,Elephant
ASV1945_Bacteroidales,3.94211879,Masai_Mara,3.548202381,0.03335047,Elephant
ASV15530_Ruminococcus_1,3.811430771,Masai_Mara,3.540088965,8.62E-05,Elephant
ASV17992_Treponema_2,3.877428664,Masai_Mara,3.482116422,0.03990167,Elephant
ASV8707_Agathobacter,3.750350048,Masai_Mara,3.440157735,0.002431118,Elephant
ASV15837_Kiritimatiellae_WCHB1_41,3.748613358,Laikipia,3.37167956,0.001414098,Elephant
ASV15540_Ruminococcus_1,3.616446631,Masai_Mara,3.371140921,0.000345263,Elephant
ASV19293_Mycoplasma,3.710780305,Laikipia,3.349599125,0.000271687,Elephant
ASV18039_Treponema_2,3.643566052,Masai_Mara,3.346621191,0.001601807,Elephant
ASV3483_Prevotellaceae,3.680338261,Masai_Mara,3.338431946,0.001711403,Elephant
ASV13514_Ruminococcaceae_UCG_010,3.630049703,Laikipia,3.336271231,1.18E-05,Elephant
ASV15840_Kiritimatiellae_WCHB1_41,3.695311478,Laikipia,3.335750306,1.79E-05,Elephant
ASV15845_Kiritimatiellae_WCHB1_41,3.663276948,Laikipia,3.323233567,0.014115812,Elephant
ASV3473_Prevotellaceae,3.733189249,Masai_Mara,3.32036407,0.015597074,Elephant
ASV18055_Treponema_2,3.598253027,Masai_Mara,3.312407883,8.56E-07,Elephant
ASV15846_Kiritimatiellae_WCHB1_41,3.668679088,Laikipia,3.310108623,0.004353783,Elephant
ASV3482_Prevotellaceae,3.630220907,Masai_Mara,3.258152595,0.001328318,Elephant
ASV2575_Bacteroidales_p_251_o5,3.559213288,Masai_Mara,3.256633108,0.004309035,Elephant
ASV3484_Prevotellaceae,3.628738538,Masai_Mara,3.252124596,0.002183085,Elephant
